عريس من استنبول, 1 ديسمبر 1941,,115,   مهددًا بالحرمان من الميراث، يسافر محسن من اسطنبول إلى القاهرة لكى يتزوج مجبرًا من ابنة عمه سميرة التي تتنكر في صورة الخادمة هربًا من هذه الزيجة، ويتنكر هو الأخر في صورة خادمه لكنهما يقعا في الحب. ,محمد الكحلاوي,"يوسف وهبي,راقية إبراهيم,بشارة واكيم,مختار عثمان,محمود المليجي,فاخر فاخر,لطفي الحكيم,فتحية علي,زكي إبراهيم,فيكتوريا حبيقة,حسين إبراهيم,لطفية نظمي,عبدالغني السيد,محمد الكحلاوي,ببا إبراهيم,محمد كامل",نحّاس فيلم,"سام بريل,عبدالحليم نصر",,ستوديو وهبي,,"محمد الكحلاوي,عبدالغني السيد,حياة محمد,فريد الأطرش,رياض السنباطي","يوسف وهبي,أحمد كامل مرسي,عبدالسلام النابلسي",
ليلى بنت مدارس,16 اكتوبر 1941,ﺩﺭاﻣﺎ,120,تدور أحداث الفيلم حول يوسف المحامي الشهير شديد الصرامة الذي يستقبل  بقصره ابنة عمه (ليلى) اليتيمة بعد أن أنهت دراستها  فتنقل ليلى جو المرح والبهجة إلى القصر، ويتغير يوسف ويقبل على الحياة لكنه يقع في حب امرأة خائنة، وتحاول ليلى نصحها لكن يعتقد يوسف إلى ليلى هى التي لها عشيق  فيطردها من بيته.,زكريا أحمد,"يوسف وهبي,ليلى مراد,ميمي شكيب,محسن سرحان,بشارة واكيم,زكي إبراهيم,عقيلة محمد,محمد كامل",,"عبدالحليم نصر,محمود نصر",توجو مزراحي (أحمد المشرقي),عبدالحميد السخاوي,,"زكريا أحمد,رياض السنباطي,محمد القصبجي,بديع خيري,أحمد رامي","توجو مزراحي (أحمد المشرقي),إبراهيم حلمي,ألفريد مزراحي","منتخبات بهنا فيلم,القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى)"
الفرسان الثلاثة,15 مايو 1941,ﻛﻮﻣﻴﺪﻱ,105,بحبح وشيحة وسنقر ثلاثة زملاء يعملون فى جريدة يشترط رئيس تحريرها عامر للعمل فيها شرط عدم الزواج، وكان كل منهم متزوجًا ويخفى زواجه، يذهب الثلاثة إلى فندق بحلوان للنقاهة وهناك يلتقون حسنية التي تبحث مع عمها عن عريس ثري، وتبدأ في نصب شباكها عليهم، لتتصاعد الأحداث.,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي","فوزي الجزايرلي,عقيلة راتب,إحسان الجزايرلي,فردوس محمد,محمد الديب,حسين المليجي,فؤاد شفيق,بشارة واكيم,أحمد الحداد,ألفريد حداد,علي عبدالعال,حسن صالح,حسن راشد,لطفي الحكيم","عبدالحميد زكي,توجو مزراحي (أحمد المشرقي)","عبدالحليم نصر,محمود نصر",,"محمد جلال,عبدالحميد السخاوي",,,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
امرأة خطرة,10 ابريل 1941,ﺩﺭاﻣﺎ,-,,,"آسيا داغر,حسين صدقي,عباس فارس,روحية خالد,زينب صدقي,ليلى حلمي",,,,,,,,منتخبات بهنا فيلم
عاصفة على الريف, 1 اكتوبر 1941,,110,يقع مفتش الصحة الدكتور أشرف في مشكلات عديدة بسبب عمله في إحدى القرى التي ذهب للعمل بها، إذ يكون عقبة فى طريق حلاق الصحة والعمدة والعطار فى البلد. وكل من يمارس الدجل والشعوذة، ويزداد التحدي أمامه بعد ابتلاء القرية بوباء الطاعون.,"يوسف وهبي,أحمد بدرخان,بديع خيري","يوسف وهبي,أمينة رزق,راقية إبراهيم,زوزو نبيل,حسين رياض,فاخر فاخر,محمود المليجي,عبدالعزيز خليل,مختار عثمان,حسن البارودي",,فرانسوا فاراكاش,ألبير نجيب,ولي الدين سامح,,"زكريا أحمد,يوسف صالح",أحمد بدرخان,ستوديو مصر
انتصار الشباب,24 مارس 1941,ﺩﺭاﻣﺎ,125,يكافح وحيد الملحن الشاب مع أخته المطربة نادية في سبيل الرزق، يعثران على عمل بأحد الملاهي إلا أن المدير  يطردهما لامتناع نادية عن مجالسة الرواد، يعانيان من العذاب والتشرد، تقع نادية في حب الثري محيي الذي يتفق معها على الزواج، ولكن والدته تعارض، أما وحيد فهو يحب أيضًا فتاة ثرية ويتفق مع أخيها على الزواج منها، يتزوج محيي من نادية غير عابيء بأمه وينجح وحيد في تقديم الأوبريت التي كان يحلم بإخراجه.,"أحمد بدرخان,بديع خيري,عمر جميعي","أسمهان,فريد الأطرش,أنور وجدي,بشارة واكيم,عبدالسلام النابلسي,علوية جميل,إستيفان روستي,فؤاد شفيق,حسن فايق,حسن كامل,روحية خالد,محمود رضا,لطيفة أمين,عبدالعظيم كامل,عصمت عبدالعليم,ماري منيب,عبدالمنعم إسماعيل,لطفي الحكيم,إدمون تويما,عبدالفتاح القصري,ثريا فخري,عزيز صادق,سامية جمال,جراسيا قاصين,صالحة قاصين,محمود إسماعيل",أفلام النيل (جبرائيل تلحمى),فرانسوا فاراكاش,"هنري بركات,جمال مدكور","جعفر والى,ستوديو نصيبيان",,فريد الأطرش,"أحمد بدرخان,محمد عبدالجواد",أفلام تلحمى (تلحمى اخوان)
سي عمر, 6 يناير 1941,ﻛﻮﻣﻴﺪﻱ,120,يعمل جابر (نجيب الريحاني) موظفًا في عزبة عمر الألفي، ويُطرد من وظيفته بعد أن يكتشف الكثير من التلاعب والتزوير في إيرادات ومصروفات العزبة، وبعد سفره للقاهرة بحثًا عن عمل، تقوده المصادفة البحتة للوصول إلى منزل عائلة عمر الألفي، مما يدفع أفراد الأسرة للظن بأنه هو ابنهم (عمر) الغائب منذ فترة طويلة نظرًا للتشابه الكبير بينهما.,"محمد حسن الشجاعي,رياض السنباطي","نجيب الريحاني,زوزو شكيب,عبدالفتاح القصري,محمد كمال المصري (شرفنطح),إستيفان روستي,ميمي شكيب,سراج منير,ماري منيب,عبدالعزيز أحمد,عبدالعزيز خليل,حسن كامل,فيوليت صيداوي,بديعة صادق,عبدالعزيز الجاهلي,إجلال زكي,فؤاد الرشيدي,علي عبدالعال,إسكندر منسي,علي كامل,محمد إبراهيم,محمد السباعي,أحمد شكري,فيكتوريا حبيقة,رشاد حامد,حسن الإمام,على عبدالقادر",,"محمد عبدالعظيم,مصطفى حسن,أحمد خورشيد","نيازي مصطفى,جلال مصطفى","روبرت شارفنبرج,علي عابد",,"محمد حسن الشجاعي,رياض السنباطي,بديعة صادق,إبراهيم حسين,محمد الكحلاوي,إجلال زكي","نيازي مصطفى,إبراهيم عمارة",ستوديو مصر
ألف ليلة وليلة,20 مارس 1941,ﺧﻴﺎﻝ,95,صياد يدعى عثمان، يعثر أثناء صيده على طفل صغير في سلة عائمة، فينتشله ويربيه ويعلمه الصيد. يتم القبض على عثمان ويدخل السجن لقيامه بالصيد في منطقة محرمة، وتدخلت ابنة الأمير لإطلاق سراحه. يعثر عثمان على قمقم وهو يصطاد ذات يوم، يفتحه فيخرج منه عفريت يكافئ عثمان بعصا سحرية.,"عقيلة راتب,حامد مرسي","علي الكسار,عقيلة راتب,حامد مرسي,علي عبدالعال,زكية إبراهيم,رياض القصبجي,زوزو نبيل,عبدالعزيز الجاهلي,سعاد أحمد,زكي إبراهيم,لطفي الحكيم,علي كامل,توفيق صادق,عباس الدالي,عزيزة محمد,بهيجة المهدي",,عبدالحليم نصر,,,,"عقيلة راتب,حامد مرسي,فريد غصن,عزت الجاهلي","توجو مزراحي (أحمد المشرقي),ألفريد مزراحي,إبراهيم حلمي",
ليلى بنت الريف, 1 فبراير 1941,ﺩﺭاﻣﺎ,115,   ليلى فتاة ريفية ثرية تقوم خالتها بتربيتها وتنجح في تزويجها من ابنها الطبيب العائد من انجلترا، لكنه يحيا حياة اللهو، ويتعالى على ليلى الفلاحة التي تتحول إلى فتاة عصرية جميلة بعد انتقالها إلى القاهرة. ,رياض السنباطي,"يوسف وهبي,ليلى مراد,بشارة واكيم,زوزو شكيب,أنور وجدي,فردوس محمد,حسن البارودي,تحية كاريوكا,فاخر فاخر,سلوى علام,عبدالسلام النابلسي,سعاد عبده,لولا صدقي,محمد كامل",شركة الأفلام المصرية (توجو مزراحي),"عبدالحليم نصر,ميشيل كروانة",توجو مزراحي (أحمد المشرقي),,,"رياض السنباطي,زكريا أحمد,محمد حسن اسماعيل,بديع خيري","توجو مزراحي (أحمد المشرقي),أحمد كامل مرسي,ألفريد مزراحي",القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى)
مصنع الزوجات, 9 اكتوبر 1941,,115,يحاول فاضل وزميلاه عزيز وحمدي شق طريقهم للحياة، وهم من حملة الشهادات العليا، لكن الحظ لا يكلل مسعاهم بالنجاح، يزور فاضل عمته علوية التي تدير معهدًا خاصًا للبنات بطريقة تقليدية، ويطلب العمل بالمعهد، لكنها ترفض، يقرر الثلاثة تأسيس معهد حديث، أشبه بمعهد العمة لمنافستها، في تعليم الفتاة أن تكون عصرية.,"بديع خيري,محمد حسن الشجاعي,زكريا أحمد","كوكا,محمود ذو الفقار,دولت أبيض,أنور وجدي,عبدالفتاح القصري,فؤاد فهيم,محمد أمين,شهرزاد,ثريا حلمي,إحسان الجزايرلي,محمد توفيق,جمالات زايد,ليلى فوزي,أمينة نور الدين,زوزو نبيل,عبدالعزيز خليل,ماري منيب,عبدالوارث عسر,عبدالعزيز أحمد,إسماعيل يس,محمد إدريس,سعاد أحمد,حياة محمد","عبدالفتاح حسن,ستوديو مصر","محمد عبدالعظيم,ستوديو مصر","نيازي مصطفى,جلال مصطفى","ولي الدين سامح,أنطوان بوليزويس",,"بديع خيري,محمد حسن الشجاعي,زكريا أحمد,رياض السنباطي,محمود الشريف,عزت الجاهلي,محمد الكحلاوي,إبراهيم حسن,عبدالحليم نويرة,حليم الرومي,عزيز صادق,إبراهيم حجاج","نيازي مصطفى,إبراهيم عمارة",ستوديو مصر
